,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
289,Woodleigh Close,0.999373749,0,-0.007346026,-0.070496231,-0.998631418
290,Le Hill Condominium,0.8066006,0.00080204,0.663380759,0.012122214,0.333542009
291,Villa Marina,0.70451761,0.58641592,0.467007151,0.469095989,0.24500732
292,Cavendish Park,0.750259969,0,0.65962375,0.171228379,0.285120229
293,Tanglin Residences,0.800875381,0,0.161799355,-0.067678168,-0.998631418
294,The Grange,0.718968677,0.999233978,0.624896447,0.302698226,0.698608569
295,East Meadows,0.877485208,0.498704694,0.603723125,-0.309006214,0.99968636
296,Twin Regency,0.578747015,0.299303577,0.444811546,0.543820459,-0.274024777
297,The Tanamera,0.999129653,0,0.149349506,-0.070496231,-0.998631418
298,The Inspira,0.898637709,0.666124314,0.54830306,0.33859077,0.418144155
299,The Glades,0.765130274,0.077490679,0.433147721,0.263316425,0.646023505
300,Melrose Park,0.836075736,0,0.662142297,0.381768661,0
301,The Trevose,0.522331621,0.998828848,0.130475355,-0.0451111,0.000525504
302,My Manhattan,0.750964537,0,0.273833546,-0.963344425,0
303,Highgate,0.434832391,0,0.225685938,0.174518758,0.33357058
304,Wandervale,0.716337223,0.710008653,0.58142801,0.213905954,0.999686301
305,Astor Green,0.651963429,0.50150837,0.231461702,0.145414829,-0.998631418
306,Domain 21,0.998906836,0,0.131440187,0.38969825,-0.99813357
307,Casablanca,0.999282777,0,0.427515754,-0.963344425,0
308,Watercolours,0.997125074,0.011704504,0.198003948,-0.963344425,0
309,Camelot By-The-Water,0.998017043,-0.89680624,0.250588953,-0.963344425,0
310,Prive,0.406289209,0.334454755,0.522713729,0.112672529,-0.996465683
311,Pinetree Condominium,0.584141759,0.932605445,0.493496175,0.437963188,0
312,Aalto,0.668683249,0.999688029,0.094138007,0.286857237,-0.0007765
313,Emerald Park,0.363200646,0.59814353,0.302221318,0.235117914,-0.116954514
314,Lush On Holland Hill,0.794701861,0.768181026,0.090587888,0.250609699,0.163898463
315,Symphony Heights,0.692031925,0.013297886,0.349610018,-0.299473912,-0.998631418
316,Fernhill Court,0.691448036,0.08893536,0.400204694,0.018106312,0
317,Edgedale Plains,0.732309963,0.327526085,0.679104649,0.423206164,0.599454439
318,Cuscaden Residences,0.990302364,0.999679804,0.412755949,0.288079013,0.00052771
319,Joo Chiat Place,0.731856111,0.326000263,0.699591936,0.246939806,0.716007076
320,Palm Spring,0.942073534,0.999683619,0.737048404,0.016834632,0
321,Bishan Park Condominium,0.626086225,0,0.268545156,0.015354529,0
322,Duku Place,0.793944864,0.00046584,0.51552322,0.425660636,0.500113532
323,Mi Casa,0.47408326,0,0.618777998,0.256587237,0
324,Skyline Residences,0.668545384,0.6659712,0.559773616,-0.46953012,-0.997605006
325,The Rivervale,0.43270854,0,0.654008704,0.032266001,0.999684691
326,One Balmoral,0.545499614,0.357111573,0.344915825,0.172015429,0.855083376
327,The Lanai,0.361597785,-0.328307341,0.383182279,0.458412057,0.001017312
328,Fortune Park,0.73557388,0.99967587,0.642795198,-0.490625954,0
329,Amber Residences,0.575528476,0.997532487,0.363783782,0.01334624,0.999685287
330,Grosvenor View,0.473320693,0.889647126,0.593296039,0.413324479,0
331,Flame Tree Park,0.730215454,0.499651343,0.504293978,0.386196518,0.999685824
332,Tangerine Grove,0.570345456,0.218467645,0.249483301,-0.192083579,0.999684095
333,West Bay Condominium,0.90830232,0.00080204,0.628646692,-0.185391319,0.333542009
334,RiverParc Residence,0.85703299,0.999674082,0.512809563,0.340821862,0.997379631
335,Sky Habitat,0.84220405,0.993581846,0.655976393,0.454614677,0.333292862
336,Seven Palms Sentosa Cove,0.701764594,0.71432966,0.655486821,0.697505089,0.997165163
337,The Tampines Trilliant,0.73025765,0.043296903,0.368454227,0.438583681,0.409623533
338,King Albert Lodge,0.530823782,0,0.350376397,-0.963344425,0.998844087
339,Glendale Park,0.574223635,-0.349169952,0.330491475,0.311620834,0.99968493
340,Astoria Park,0.996573794,0,0.35583204,-0.963344425,0
341,Centennia Suites,0.6735441,0.377705149,0.663578268,0.505313456,-0.331467966
342,Riviera Residences,0.533513633,-0.005097002,0.330386457,0.153202525,0.999686241
343,Montebleu,0.775428724,0,0.439833194,-0.308999836,0
344,Lilydale,0.999207819,0.994285643,0.344136193,-0.482146338,0.869036704
345,Lakeholmz,0.555953785,0.997850299,0.463555538,0.459188759,0.999684691
346,Hillview Heights,0.560952174,-0.840468347,0.240728369,0.011357434,0.999586403
347,Townerville,0.970332122,0,0.213503605,-0.963344425,0
