,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
135,Coco Palms,0.672672542,0.505942803,0.451205684,0.12567329,0.519077782
136,Hume Park I,0,0,0,0,0
137,Castle Green,0,0,0,0,0
138,The Trillium,0.642921536,0.789618953,0.382920741,0.456100415,0.447771779
139,Commonwealth Towers,0.754558207,0.444201879,0.474270841,0.331324826,0.926979005
140,Sol Acres,0,0,0,0,0
141,Tanglin Hill Condominium,0,0,0,0,0
142,Clydesview,0,0,0,0,0
143,Pandan Valley,0.610946403,0.323002719,0.262421622,0.25917758,0.999471307
144,Martin Place Residences,0,0,0,0,0
145,Woodhaven,0.823877584,0.190581466,0.392612402,0.603360546,-0.331466337
146,Thomson Grand,0.78177263,0.950135946,0.472375067,0.25425989,0.200991642
147,8 @ Mount Sophia,0,0,0,0,0
148,Grange Residences,0,0,0,0,0
149,Residences @ Evelyn,0,0,0,0,0
150,Trilight,0.636519899,0.482092622,0.477844557,0.390864652,-0.332138906
151,The Gardens At Bishan,0,0,0,0,0
152,Cliveden At Grange,0,0,0,0,0
153,Reflections At Keppel Bay,0,0,0,0,0
154,Southaven II,0,0,0,0,0
155,Waterfront Key,0,0,0,0,0
156,Costa Del Sol,0.730983787,0.410361558,0.473456596,0.410587204,0.638315092
157,Springdale Condominium,0,0,0,0,0
158,The Gale,0,0,0,0,0
159,Waterview,0,0,0,0,0
160,The Hillside,0.578984643,0.776584228,0.578639963,0.360829806,0.654697871
161,Sims Avenue,0.522712147,0.542332179,0.45859934,0.283371849,0.402138344
162,Cube 8,0.581189394,0.000388771,0.334085664,0.606809777,0.666608363
163,Urban Suites,0.844312258,0.657971147,0.555544436,0.771184065,0.806849827
164,Palm Isles,0,0,0,0,0
165,Tembusu Grand,0.957526741,0.845523758,0.811980028,0.998076379,0.71048075
166,The Floravale,0.997870761,-0.031829298,0.533959326,-0.963344425,0.999686003
167,Woodgrove Condominium,0,0,0,0,0
168,Ripple Bay,0.519406286,0.932946076,0.480369249,0.018124864,0.71048075
169,Kovan Residences,0.795258399,-0.135328078,0.532302872,-0.233461348,0.111754179
170,The Bayshore,0.735894981,0.544185114,0.588779196,0.283367753,0.622990658
171,Lakeville,0.686705682,0.312094132,0.583432869,-0.121230106,0.001316443
172,Signature At Yishun,0.818203659,0.496607323,0.703883468,0.704869533,0.671579619
173,Corals At Keppel Bay,0,0,0,0,0
174,The Wharf Residence,0,0,0,0,0
175,Modena,0.435504679,0.643969893,0.263497687,0.418932423,0.356921222
176,Hillcrest Arcadia,0,0,0,0,0
